elapsed_ms,event_type,wasp_health,wasp_x,wasp_y,sentinel_count,detail
14081,BATTLE_START,350,0,0,20,"config={'run_label':'strong_wasp','wasp_health':350,'wasp_attack_radius':70,'wasp_max_kills':3,'wasp_speed':5,'sentinel_counter_radius':100,'sentinel_counter_damage':20,'counter_attack_threshold':2,'auto_exit':true,'llm_enabled':true,'llm_rate_limit_ms':3000}"
15249,LLM_DECISION,-1,10,10,20,"call=1 target=(448,466) near50=1 near100=2 safe=false fallback=false"
18972,SENTINEL_KILLED,350,229,229,12,"killed=[worker13] total_killed=1"
22365,COUNTER_ATTACK,330,430,442,19,"damage=20 attackers=2 hp_after=330"
22468,SENTINEL_KILLED,330,436,450,18,"killed=[worker1_2] total_killed=2"
22519,LLM_DECISION,-1,436,450,18,"call=2 target=(57,395) near50=0 near100=0 safe=true fallback=false"
23026,SENTINEL_KILLED,330,396,450,17,"killed=[worker4_2] total_killed=3"
23536,COUNTER_ATTACK,310,356,450,17,"damage=20 attackers=2 hp_after=310"
27125,LLM_DECISION,-1,76,399,14,"call=3 target=(345,448) near50=0 near100=0 safe=true fallback=false"
30356,LLM_DECISION,-1,328,444,16,"call=4 target=(161,263) near50=0 near100=0 safe=true fallback=false"
33034,LLM_DECISION,-1,173,279,16,"call=5 target=(76,139) near50=0 near100=0 safe=true fallback=false"
34655,LLM_DECISION,-1,88,155,16,"call=6 target=(470,63) near50=3 near100=5 safe=false fallback=true"
38443,COUNTER_ATTACK,290,388,80,19,"damage=20 attackers=2 hp_after=290"
38494,SENTINEL_KILLED,290,392,79,18,"killed=[worker20] total_killed=4"
38999,SENTINEL_KILLED,290,432,71,18,"killed=[worker18] total_killed=5"
39303,LLM_DECISION,-1,452,67,18,"call=7 target=(410,102) near50=0 near100=0 safe=true fallback=false"
39758,LLM_DECISION,-1,426,90,18,"call=8 target=(567,381) near50=1 near100=3 safe=false fallback=true"
43295,LLM_DECISION,-1,560,366,13,"call=9 target=(780,413) near50=1 near100=3 safe=false fallback=true"
43952,SENTINEL_KILLED,290,612,378,12,"killed=[worker2_1] total_killed=6"
45316,SENTINEL_KILLED,290,720,400,11,"killed=[worker1, worker8_1] total_killed=8"
45923,LLM_DECISION,-1,764,409,12,"call=10 target=(693,275) near50=0 near100=1 safe=true fallback=false"
46427,SENTINEL_KILLED,290,744,369,12,"killed=[worker6_1] total_killed=9"
46931,SENTINEL_KILLED,290,724,329,14,"killed=[worker14, worker4_1] total_killed=11"
46931,COUNTER_ATTACK,270,724,329,14,"damage=20 attackers=5 hp_after=270"
47436,SENTINEL_KILLED,270,704,289,12,"killed=[worker7_1] total_killed=12"
47487,LLM_DECISION,-1,704,289,12,"call=11 target=(406,455) near50=1 near100=3 safe=false fallback=true"
47991,SENTINEL_KILLED,235,664,309,11,"killed=[worker9_1] total_killed=13"
49759,SENTINEL_KILLED,235,524,379,11,"killed=[worker2_2] total_killed=14"
51125,LLM_DECISION,-1,422,443,9,"call=12 target=(252,354) near50=0 near100=1 safe=true fallback=false"
52033,SENTINEL_KILLED,235,350,407,7,"killed=[worker3_1] total_killed=15"
53149,LLM_DECISION,-1,266,365,9,"call=13 target=(203,195) near50=0 near100=2 safe=false fallback=true"
54512,SENTINEL_KILLED,235,230,257,9,"killed=[worker10_1] total_killed=16"
55119,LLM_DECISION,-1,211,213,9,"call=14 target=(504,128) near50=0 near100=1 safe=true fallback=false"
57294,SENTINEL_KILLED,235,383,170,7,"killed=[worker12_1] total_killed=17"
58660,LLM_DECISION,-1,487,136,5,"call=15 target=(456,338) near50=0 near100=0 safe=true fallback=true"
61035,LLM_DECISION,-1,460,320,7,"call=16 target=(14,391) near50=0 near100=0 safe=true fallback=false"
62853,SENTINEL_KILLED,235,316,329,7,"killed=[worker16] total_killed=18"
66493,LLM_DECISION,-1,32,387,7,"call=17 target=(150,19) near50=0 near100=0 safe=true fallback=false"
70996,LLM_DECISION,-1,143,35,6,"call=18 target=(18,349) near50=0 near100=0 safe=true fallback=false"
74781,LLM_DECISION,-1,26,331,6,"call=19 target=(169,266) near50=0 near100=0 safe=true fallback=false"
76449,LLM_DECISION,-1,154,273,7,"call=20 target=(687,356) near50=1 near100=3 safe=false fallback=true"
80400,SENTINEL_KILLED,235,466,311,6,"killed=[worker17] total_killed=19"
82981,SENTINEL_KILLED,235,670,352,6,"killed=[worker15] total_killed=20"
83032,LLM_DECISION,-1,670,352,6,"call=21 target=(505,258) near50=0 near100=2 safe=false fallback=false"
85002,LLM_DECISION,-1,521,270,5,"call=22 target=(438,37) near50=1 near100=2 safe=false fallback=false"
87076,SENTINEL_KILLED,235,468,106,5,"killed=[worker5_1] total_killed=21"
87785,LLM_DECISION,-1,446,54,4,"call=23 target=(613,504) near50=0 near100=0 safe=true fallback=true"
93293,LLM_DECISION,-1,605,486,4,"call=24 target=(146,298) near50=0 near100=0 safe=true fallback=false"
96020,SENTINEL_KILLED,235,389,404,3,"killed=[worker1_1] total_killed=22"
98957,LLM_DECISION,-1,161,305,3,"call=25 target=(362,199) near50=0 near100=0 safe=true fallback=false"
101384,LLM_DECISION,-1,348,210,3,"call=26 target=(346,475) near50=0 near100=0 safe=true fallback=false"
104566,LLM_DECISION,-1,348,458,4,"call=27 target=(689,316) near50=0 near100=1 safe=true fallback=true"
105636,SENTINEL_KILLED,235,432,428,3,"killed=[worker11_1] total_killed=23"
108715,LLM_DECISION,-1,672,324,5,"call=28 target=(553,566) near50=0 near100=0 safe=true fallback=false"
111597,LLM_DECISION,-1,561,548,4,"call=29 target=(538,326) near50=0 near100=1 safe=true fallback=false"
113414,SENTINEL_KILLED,235,554,404,3,"killed=[worker19] total_killed=24"
113921,SENTINEL_KILLED,235,546,364,3,"killed=[worker9] total_killed=25"
114225,LLM_DECISION,-1,542,344,3,"call=30 target=(536,266) near50=0 near100=0 safe=true fallback=true"
115034,LLM_DECISION,-1,540,284,3,"call=31 target=(114,384) near50=1 near100=1 safe=true fallback=true"
117256,SENTINEL_KILLED,235,364,328,3,"killed=[worker6] total_killed=26"
119736,SENTINEL_KILLED,235,168,373,2,"killed=[worker3_2] total_killed=27"
120240,LLM_DECISION,-1,132,380,2,"call=32 target=(248,467) near50=0 near100=0 safe=true fallback=false"
