elapsed_ms,event_type,wasp_health,wasp_x,wasp_y,sentinel_count,detail
15141,BATTLE_START,200,0,0,20,"config={'run_label':'baseline','wasp_health':200,'wasp_attack_radius':50,'wasp_max_kills':2,'wasp_speed':3,'sentinel_counter_radius':100,'sentinel_counter_damage':20,'counter_attack_threshold':2,'llm_rate_limit_ms':5000}"
16448,LLM_DECISION,-1,10,10,20,"call=1 target=(476,594) near50=1 near100=5 safe=false fallback=false"
22959,COUNTER_ATTACK,180,154,234,22,"damage=20 attackers=2 hp_after=180"
23314,SENTINEL_KILLED,180,166,248,21,"killed=[worker18] total_killed=1"
25686,LLM_DECISION,-1,222,310,21,"call=2 target=(78,238) near50=0 near100=1 safe=true fallback=false"
26445,SENTINEL_KILLED,180,192,295,18,"killed=[worker10_1] total_killed=2"
26698,COUNTER_ATTACK,160,182,290,18,"damage=20 attackers=2 hp_after=160"
27707,COUNTER_ATTACK,140,142,270,18,"damage=20 attackers=3 hp_after=140"
28718,COUNTER_ATTACK,120,102,250,19,"damage=20 attackers=2 hp_after=120"
28819,SENTINEL_KILLED,120,98,248,18,"killed=[worker12_1] total_killed=3"
28971,LLM_DECISION,-1,94,246,18,"call=3 target=(72,377) near50=1 near100=1 safe=true fallback=true"
30187,SENTINEL_KILLED,120,94,294,16,"killed=[worker1_2] total_killed=4"
31987,LLM_DECISION,-1,78,360,10,"call=4 target=(60,132) near50=1 near100=1 safe=true fallback=false"
38516,LLM_DECISION,-1,67,150,19,"call=5 target=(621,542) near50=0 near100=0 safe=true fallback=true"
39317,SENTINEL_KILLED,120,93,163,17,"killed=[worker9_1] total_killed=5"
40604,SENTINEL_KILLED,120,135,184,16,"killed=[worker11_1] total_killed=6"
43067,SENTINEL_KILLED,120,215,224,13,"killed=[worker5_1] total_killed=7"
43784,COUNTER_ATTACK,100,239,236,14,"damage=20 attackers=2 hp_after=100"
43987,SENTINEL_KILLED,100,247,240,13,"killed=[worker7_1] total_killed=8"
44643,SENTINEL_KILLED,100,273,253,13,"killed=[worker13] total_killed=9"
44795,COUNTER_ATTACK,80,279,256,13,"damage=20 attackers=2 hp_after=80"
46788,SENTINEL_KILLED,80,349,298,13,"killed=[worker4_2] total_killed=10"
48551,LLM_DECISION,-1,367,315,14,"call=6 target=(400,124) near50=0 near100=2 safe=false fallback=false"
49773,COUNTER_ATTACK,60,367,275,13,"damage=20 attackers=3 hp_after=60"
51741,COUNTER_ATTACK,40,369,211,13,"damage=20 attackers=2 hp_after=40"
52970,COUNTER_ATTACK,20,383,171,14,"damage=20 attackers=2 hp_after=20"
53956,LLM_DECISION,-1,394,141,13,"call=7 target=(510,114) near50=0 near100=1 safe=true fallback=true"
55127,SENTINEL_KILLED,20,432,141,11,"killed=[worker16] total_killed=11"
55868,SENTINEL_KILLED,20,456,133,10,"killed=[worker1_1] total_killed=12"
57039,LLM_DECISION,-1,492,121,13,"call=8 target=(343,117) near50=1 near100=3 safe=false fallback=false"
58271,COUNTER_ATTACK,0,452,121,14,"damage=20 attackers=2 hp_after=0"
58272,SENTINEL_WIN,0,0,0,14,"duration_ms=58272"
